,KIRC Tumor,KIRC Normal,BRCA Tumor,BRCA Normal,BRCATang Tumor,OV Tumor,OV Metastasis,combined.p,adjusted.combined.p,combined.p.TUMOR.ONLY,adjusted.combined.p.TUMOR.ONLY
Acetylcoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthranilate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cgmp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cysteinesulfinate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytosine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Datp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dihydroxyacetone Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dtmp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fructose-1,6Dp(F1,6Dp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gdp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gmp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gtp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iso-Citrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malonylcoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nadp+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nadph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ribose 5-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ribulose-5P(Ru5P),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyramine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Arachidonoyl-Gpi* (20:4)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Palmitoleoyl-Gpc* (16:1)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Palmitoyl-Gpi* (16:0)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Stearoyl-Gpi (18:0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Arachidonoyl-Gpc* (20:4)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Arachidonoyl-Gpe* (20:4)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Docosahexaenoyl-Gpc* (22:6)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Linoleoyl-Gpc* (18:2)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Myristoyl-Gpc* (14:0)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Myristoylglycerophosphoethanolamine*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Oleoyl-Gpc* (18:1)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Oleoyl-Gpe* (18:1)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Palmitoleoyl-Gpc* (16:1)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Palmitoleoyl-Gpe* (16:1)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Palmitoyl-Gpc* (16:0)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Palmitoyl-Gpe* (16:0)*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Phosphoserine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetylphosphate,NA,NA,NA,NA,NA,0.6008,0.5742,0.575738437,0.77780056,NA,NA
Arabinose,NA,NA,NA,NA,NA,0.3902,0.7132,0.731501591,0.885178396,NA,NA
Betaine Aldehyde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carbamazepine 10,11-Epoxide*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carbamazepine*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cysteine Sulfinic Acid,NA,NA,NA,NA,NA,0.3148,0.428571429,0.810326398,0.920607506,NA,NA
Cdp-Choline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehydroascorbate,NA,NA,NA,NA,NA,0.428,0.565,0.829803213,0.921581999,NA,NA
Dimethylallyl Pyrophosphate (Dmapp),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphenhydramine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Docosapentaenoate (Dpa; 22:5N3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactosylsphingosine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydroxyisovaleroylcarnitine (C5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar: 2-Propylpentanoic Acid, 2-Ethylhexanoic Acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isobutyrylcarnitine (C4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Levulinate (4-Oxovalerate),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methyl Palmitate (15 Or 2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Methylglutaroylcarnitine (C6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Acetyl-Glutamate,NA,NA,NA,NA,NA,0.1952,0.7142,0.828196347,0.921581999,NA,NA
N-Acetylhistidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmitoyl Ethanolamide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmitoylcarnitine (C16),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphingomyelin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Succinylcarnitine (C4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sucrose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triethanolamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trizma Acetate,NA,NA,NA,NA,NA,0.201,0.5688,0.724542026,0.882851706,NA,NA
Undecanoate (11:0),NA,NA,NA,NA,NA,0.801,0.7058,0.224454968,0.438429623,NA,NA
"1,2-Dipalmitoylglycerol",NA,NA,NA,NA,NA,0.4158,0.5902,0.819677393,0.921581999,NA,NA
"4-Androsten-3Beta,17Beta-Diol Disulfate 2*",NA,NA,NA,NA,NA,0.511,NA,NA,NA,NA,NA
5-Dodecenoate (12:1N7),NA,NA,NA,NA,NA,0.8556,0.4342,0.521273624,0.730544056,NA,NA
Alpha-Hydroxyisocaproate,NA,NA,NA,NA,NA,0.9902,0.285714286,0.719749878,0.882076446,NA,NA
Biliverdin,NA,NA,NA,NA,NA,0.953,0.285714286,0.746993779,0.888984332,NA,NA
Galactitol (Dulcitol),NA,NA,NA,NA,NA,0.067,0.714285714,0.386641197,0.633261005,NA,NA
Lignocerate (24:0),NA,NA,NA,NA,NA,0.256,1,0.790360149,0.914151497,NA,NA
Methylglutaroylcarnitine,NA,NA,NA,NA,NA,0.573,0.1422,0.571568536,0.774643475,NA,NA
N-Acetylputrescine,NA,NA,NA,NA,NA,0.054,0.714285714,0.328261639,0.572698507,NA,NA
O-Cresol Sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ofloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orotate,NA,NA,NA,NA,NA,0.7522,0.2896,0.900354885,0.96191704,NA,NA
Oxamate,NA,NA,NA,NA,NA,0.433,0.4254,0.991628404,0.998969794,NA,NA
Phenylacetate,NA,NA,NA,NA,NA,0.682,0.571428571,0.48608361,0.719078052,NA,NA
Progesterone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saccharin,NA,NA,NA,NA,NA,0.378,NA,NA,NA,NA,NA
Taurocholenate Sulfate*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thromboxane B2,NA,NA,NA,NA,NA,0.219,0.2784,0.463049467,0.698276341,NA,NA
Tricosanoate (23:0),NA,NA,NA,NA,NA,0.328,0.571428571,0.997498004,0.999714277,NA,NA
2-Aminooctanoic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Dehydro-D-Gluconate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetyl-Coa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenosine 5'-Phosphosulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adp-D-Glucose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allantoin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdp-Ethanolamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cholesteryl Sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creatine Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytidine_Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-Glucono-Delta-Lactone-6-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-Glucuronic Acid-Potential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-Glyceraldehdye-3-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-Mannose/L-Sorbose-Potential-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-Sedoheptulose-1/7-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dgdp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dgtp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fructose-1,6-Bisphosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucine/Isoleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Acetyl-Glucosamine-1-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shikimate-3-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trehalose/Sucrose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Udp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Udp-D-Glucose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Udp-N-Acetyl-Glucosamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Heptadecanoylglycerol (1-Monoheptadecanoin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Myristoylglycerol (1-Monomyristin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Pentadecanoylglycerol (1-Monopentadecanoin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-Methylstearate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2'-Deoxycytidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2'-Deoxycytidine 5'-Monophosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Myristoylglycerol (2-Monomyristin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Stearoylglycerol (2-Monostearin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Stearoylglycerophosphoinositol*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Hydroxyindoleacetate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9,10-Hydroxyoctadec-12(Z)-Enoic Acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenosine-2',3'-Cyclic Monophosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenodeoxycholate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decanoylcarnitine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dexpanthenol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamma-Glutamylthreonine*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glycoursodeoxycholate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexadecanedioate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homovanillate Sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoleucylleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ketamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kynurenate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactobionate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucylisoleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Acetylcysteine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmitate, Methyl Ester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prolylleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raffinose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stearamide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taurodeoxycholate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tauroursodeoxycholate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetradecanedioate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thymidine 3'-Monophosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Docosahexaenoylglycerol (1-Monodocosahexaenoin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Methylhistamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Stearoylglycerophosphoglycerol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Ethylhexanoate (Isobar With 2-Propylpentanoate),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-Hydroxyoctanoate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpha-Glutamylvaline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guanosine 3'-Monophosphate (3'-Gmp),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isovalerylglycine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methyl Stearate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostaglandin D2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Methyladenosine (1Ma),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2'-Deoxyuridine-5'-Triphosphate (Dutp),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-Dihydroxyphenylethyleneglycol (Dopeg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Methyl-2-Oxopentanoate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5,6-Dihydrothymine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Hydroxyindoleacetate (5-Hia),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Sulfosalicylate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetylcarnitine (Alc; C2 Ac),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-Aminoisobutyrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-Hydroxybutyrate (Bhba),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bicine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biotin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradykinin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradykinin Hydroxyproline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadaverine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciliatine (2-Aminoethylphosphonate),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehydroepiandrosterone Sulfate (Dhea-S),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deoxyuridine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dihydroxyacetonephosphate (Dhap),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimethylbenzimidazole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethylmalonate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histidinol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homoserine Lactone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydroxyphenylpyruvate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imidazolelactate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indoxylsulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inositol-1-Phosphate (I1P),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 1 Includes Mannose, Fructose, Glucose, Galactose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 17 Includes Arginine, N-Alpha-Acetyl-Ornithine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 18 Includes D-Fructose 1-Phosphate, Beta-D-Fructose 6-Phosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 19 Includes D-Saccharic Acid,1,5-Anhydro-D-Glucitol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 2 Includes 2-Aminoisobutyric Acid,3-Amino-Isobutyrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 21 Includes Gamma-Aminobutyryl-L-Histidine, L-Anserine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 22 Includes Glutamic Acid, O-Acetyl-L-Serine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 24 Includes L-Arabitol, Adonitol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 28 Includes L-Threonine, L-Allothreonine, L-Homoserine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 29 Includes R,S-Hydroorotic Acid, 5,6-Dihydroorotic Acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 3 Includes Inositol 1-Phosphate, Mannose 6-Phosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 30 Includes Maltotetraose, Stachyose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 31 Includes 1-Kestose,Maltotriose, Melezitose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 32 Includes N-Acetyl-D-Glucosamine, N-Acetyl-D-Mannosamin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 35 Includes D-Arabinose 5-Phosphate, D-Ribulose 5-Phosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 4 Includes Gluconic Acid, Dl-Arabinose, D-Ribose, L-Xylose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 40 Includes Maltotetraose, Stachyose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isobar 6 Includes Valine, Betaine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isobar Glycochenodeoxycholic Acid/Glycodeoxycholic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylglutarate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Acetylgalactosamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Acetylglucosaminylamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Carbamoylaspartate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octadecanoic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orotidine-5'-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthophosphate (Pi),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalate (Ethanedioate),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxoproline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phosphoserine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P-Hydroxyphenylacetate (Hpa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P-Hydroxyphenyllactate (Hpla),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Picolinate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridoxamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suberate (Octanedioate),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sucrose/Maltose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thyroxine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Topiramate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Udp-N-Acetylmuraminate (Udp-Murnac),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Eicosadienoylglycerophosphocholine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,7-Dimethylurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Vinylphenol_Sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetylcholine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serotonin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
