,RCC1,RCC2,RCC3,RCC4,RCC5,RCC6,RCC7,RCC8,RCC9,RCC10,RCC11,RCC12,RCC13,RCC14,RCC15,RCC16,RCC17,RCC18,RCC19,RCC20,RCC21,RCC22
uridine,0.0598,0.9054,1.7547,0.4792,3.7402,3.3739,0.286,1.4478,0.53,1.1208,0.4131,1.0194,0.0919,1.2268,0.2076,0.9806,0.2008,2.0996,0.4766,2.3743,1.5948,1.0247
valerylcarnitine,0.5026,0.7051,0.6438,0.4919,0.3856,1.0683,0.5038,1.9373,1.0693,0.9349,2.2072,1.1417,2.1234,1.3648,1.412,0.6168,0.7486,1.255,2.4343,0.651,0.7819,1.0651
valine,1.0096,1.1758,0.8889,0.7929,0.5069,1.2893,0.9904,1.2356,1.0812,0.8784,1.0701,0.7616,1.021,1.0308,0.9892,0.8573,1.3394,1.1105,0.7307,0.8187,1.268,0.6968
valylalanine,2.0372,0.4522,0.5795,0.4522,0.6809,1.1915,1.6952,1,2.0511,0.7618,3.0733,0.4522,1.7149,0.5139,1.3698,0.4522,0.6036,0.7242,0.4522,0.8909,7.2575,0.4522
valylasparagine,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,1.1105,0.8405,0.8895,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,1.9958,0.8405
valylglycine,0.6439,0.4391,0.5466,0.4391,0.8787,0.9451,1.3397,0.8663,2.4156,0.4391,1.2009,0.4391,1.2184,0.4391,1.2655,0.4391,1.0549,0.9061,0.4391,0.4391,4.1372,0.4391
valyllysine,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,1,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,0.8358,4.5287,0.8358
valylmethionine,0.9333,0.3181,0.3181,0.3181,0.3181,0.3181,0.3181,0.3181,0.9794,0.3181,1.6436,0.3181,1.6887,0.3181,1,0.3181,0.3181,0.3181,0.3181,0.3181,1.4015,0.3181
valylphenylalanine,0.5502,0.5502,0.5502,0.5502,0.5502,0.5502,0.5502,0.5502,1.1155,0.5502,1.2362,0.5502,0.8845,0.5502,0.7763,0.5502,0.5502,0.5502,0.5502,0.5502,2.0922,0.5502
valylserine,1.0716,0.3726,0.4078,0.3726,0.3726,0.5931,1,0.9277,1.9542,0.6106,1.5485,0.3726,1.4187,0.3726,1.2327,0.3726,0.3726,0.3726,0.3726,0.4759,3.6949,0.3726
valylthreonine,1.0541,0.6141,0.3616,0.5342,0.6202,1.2942,1.0698,2.3672,1.6546,0.9731,1.7848,0.2405,1.4664,1,1.1816,0.3493,0.5608,0.8726,0.4239,1.3492,5.5356,0.2405
valylvaline,1.6629,0.4386,0.5518,0.4386,0.4386,1.0262,0.8558,0.7851,1.6202,0.4386,1.8263,0.4386,1.2262,0.7822,0.9738,0.4386,0.4386,0.4386,0.4386,0.4386,3.4371,0.4386
vecuronium,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.522,2.1488,0.3322,0.3322,0.3322,0.3322,0.3322,1.478,0.3322,0.3322
xanthine,0.8313,1.2054,0.7168,0.7083,1.0029,1.5909,0.6466,1.4566,0.7574,1.0704,1.0736,1.4283,0.3429,0.8683,0.6768,1.0254,0.6894,1.4407,0.472,1.5772,0.9971,1.022
xanthosine,0.2205,1.1396,0.2601,0.8834,0.4548,1.6373,0.343,1.8089,0.2205,1.5509,0.2205,1,0.3704,1.6966,0.4923,1.0879,0.2205,2.1907,0.2205,2.2745,0.2205,0.7137
xylitol,0.885,0.9964,0.7156,1.0036,0.8167,0.8795,0.6476,2.7284,1.0603,0.9539,2.9758,0.5922,1.4409,1.0804,1.1733,0.3458,0.765,1.577,0.3424,1.2241,2.4093,1.2979
